"Dia";"Empresa";"Nicho";"Cidade";"WhatsApp";"Site"
"Dia 1";"Bela Saúde1";"Clínica Odontológica";"Campinas";"(19) 99584-3608";""
"Dia 1";"Cantinho Banho e Tosa2";"Pet Shop";"Campinas";"(19) 99539-1335";""
"Dia 1";"Clínica Clinic3";"Clínica de Estética";"Campinas";"(19) 99350-3836";""
"Dia 1";"Gato Store4";"Pet Shop";"Campinas";"(19) 99926-1341";""
"Dia 1";"Bela Dental5";"Clínica Odontológica";"Campinas";"(19) 99532-7833";""
"Dia 1";"Mais Prime6";"Clínica Odontológica";"Campinas";"(19) 99507-1974";""
"Dia 1";"Studio Clinic7";"Clínica de Estética";"Campinas";"(19) 99778-1444";""
"Dia 1";"Pelos Pet8";"Pet Shop";"Campinas";"(19) 99237-8459";""
"Dia 1";"Corpo Face & Corpo9";"Clínica de Estética";"Campinas";"(19) 99148-1589";""
"Dia 1";"Harmonia Clinic10";"Clínica de Estética";"Campinas";"(19) 99637-7315";""
"Dia 1";"Studio Beleza11";"Clínica de Estética";"Campinas";"(19) 99339-3567";""
"Dia 1";"Patas Boutique12";"Pet Shop";"Campinas";"(19) 99201-5742";""
"Dia 1";"Gato Bichos13";"Pet Shop";"Campinas";"(19) 99619-6817";""
"Dia 1";"Mundo Shop14";"Pet Shop";"Campinas";"(19) 99892-3150";""
"Dia 1";"Corpo Estética15";"Clínica de Estética";"Campinas";"(19) 99830-5720";""
"Dia 1";"Vital Estética16";"Clínica de Estética";"Campinas";"(19) 99857-7555";""
"Dia 1";"Bicho Bichos17";"Pet Shop";"Campinas";"(19) 99406-3601";""
"Dia 1";"Consultório Dental18";"Clínica Odontológica";"Campinas";"(19) 99267-8831";""
"Dia 1";"Harmonia Saúde19";"Clínica de Estética";"Campinas";"(19) 99750-2499";""
"Dia 1";"Bicho Bichos20";"Pet Shop";"Campinas";"(19) 99618-6766";""
"Dia 1";"Corpo Estética Avançada21";"Clínica de Estética";"Campinas";"(19) 99156-8389";""
"Dia 1";"Gato Veterinária22";"Pet Shop";"Campinas";"(19) 99110-6967";""
"Dia 1";"Vida Center23";"Clínica Odontológica";"Campinas";"(19) 99300-9266";""
"Dia 1";"Cantinho Store24";"Pet Shop";"Campinas";"(19) 99339-5508";""
"Dia 1";"Derme Estética25";"Clínica de Estética";"Campinas";"(19) 99275-9923";""
"Dia 1";"Odonto Dental26";"Clínica Odontológica";"Campinas";"(19) 99037-3766";""
"Dia 1";"Face Estética Avançada27";"Clínica de Estética";"Campinas";"(19) 99314-5228";""
"Dia 1";"Odonto Odontologia28";"Clínica Odontológica";"Campinas";"(19) 99663-6341";""
"Dia 1";"Corpo Beleza29";"Clínica de Estética";"Campinas";"(19) 99263-3585";""
"Dia 1";"Prime Especializada30";"Clínica Odontológica";"Campinas";"(19) 99661-8446";""
"Dia 1";"Recanto Feliz31";"Pet Shop";"Campinas";"(19) 99776-8802";""
"Dia 1";"Gato Boutique32";"Pet Shop";"Campinas";"(19) 99938-4918";""
"Dia 1";"Face Laser33";"Clínica de Estética";"Campinas";"(19) 99864-5620";""
"Dia 1";"Amigo Store34";"Pet Shop";"Campinas";"(19) 99568-1352";""
"Dia 1";"Face Estética35";"Clínica de Estética";"Campinas";"(19) 99540-4532";""
"Dia 1";"Saúde Odontologia36";"Clínica Odontológica";"Campinas";"(19) 99150-3495";""
"Dia 1";"Vida Saúde37";"Clínica Odontológica";"Campinas";"(19) 99079-5374";""
"Dia 1";"Essência Laser38";"Clínica de Estética";"Campinas";"(19) 99908-1155";""
"Dia 1";"Clean Especializada39";"Clínica Odontológica";"Campinas";"(19) 99978-7064";""
"Dia 1";"Harmonia Estética40";"Clínica de Estética";"Campinas";"(19) 99766-1848";""
"Dia 1";"Master Especializada41";"Clínica Odontológica";"Campinas";"(19) 99784-2931";"http://www.siteantigo-masterespecializada41.com.br"
"Dia 1";"Prime Clin42";"Clínica Odontológica";"Campinas";"(19) 99422-2429";"http://www.siteantigo-primeclin42.com.br"
"Dia 1";"Mania Shop43";"Pet Shop";"Campinas";"(19) 99499-5481";"http://www.siteantigo-maniashop43.com.br"
"Dia 1";"Mania e Cia44";"Pet Shop";"Campinas";"(19) 99835-2724";"http://www.siteantigo-maniaecia44.com.br"
"Dia 1";"Gato Store45";"Pet Shop";"Campinas";"(19) 99257-8766";"http://www.siteantigo-gatostore45.com.br"
"Dia 1";"Bela Center46";"Clínica Odontológica";"Campinas";"(19) 99976-5319";"http://www.siteantigo-belacenter46.com.br"
"Dia 1";"Recanto Vet47";"Pet Shop";"Campinas";"(19) 99775-3772";"http://www.siteantigo-recantovet47.com.br"
"Dia 1";"Mais Sorrisos48";"Clínica Odontológica";"Campinas";"(19) 99042-2695";"http://www.siteantigo-maissorrisos48.com.br"
"Dia 1";"Bela Prime49";"Clínica Odontológica";"Campinas";"(19) 99941-1329";"http://www.siteantigo-belaprime49.com.br"
"Dia 1";"Mais Center50";"Clínica Odontológica";"Campinas";"(19) 99017-9338";"http://www.siteantigo-maiscenter50.com.br"
"Dia 2";"Pet Pet1";"Pet Shop";"Ribeirão Preto";"(16) 99016-9979";""
"Dia 2";"Face Clinic2";"Clínica de Estética";"Ribeirão Preto";"(16) 99622-4258";""
"Dia 2";"Renova Saúde3";"Clínica de Estética";"Ribeirão Preto";"(16) 99502-8888";""
"Dia 2";"Clean Odontologia4";"Clínica Odontológica";"Ribeirão Preto";"(16) 99968-4634";""
"Dia 2";"Studio Estética Avançada5";"Clínica de Estética";"Ribeirão Preto";"(16) 99624-9511";""
"Dia 2";"Consultório Prime6";"Clínica Odontológica";"Ribeirão Preto";"(16) 99771-7317";""
"Dia 2";"Pelos Boutique7";"Pet Shop";"Ribeirão Preto";"(16) 99292-9244";""
"Dia 2";"Corpo Laser8";"Clínica de Estética";"Ribeirão Preto";"(16) 99710-2571";""
"Dia 2";"Clean Oral9";"Clínica Odontológica";"Ribeirão Preto";"(16) 99931-5746";""
"Dia 2";"Odonto Saúde10";"Clínica Odontológica";"Ribeirão Preto";"(16) 99814-9593";""
"Dia 2";"Mundo Vet11";"Pet Shop";"Ribeirão Preto";"(16) 99371-9050";""
"Dia 2";"Odonto Center12";"Clínica Odontológica";"Ribeirão Preto";"(16) 99481-2371";""
"Dia 2";"Cantinho Pet13";"Pet Shop";"Ribeirão Preto";"(16) 99772-5256";""
"Dia 2";"Vital Saúde14";"Clínica de Estética";"Ribeirão Preto";"(16) 99610-6616";""
"Dia 2";"Vital Saúde15";"Clínica de Estética";"Ribeirão Preto";"(16) 99841-1994";""
"Dia 2";"Cantinho Vet16";"Pet Shop";"Ribeirão Preto";"(16) 99758-1727";""
"Dia 2";"Essência Estética17";"Clínica de Estética";"Ribeirão Preto";"(16) 99047-7517";""
"Dia 2";"Mais Center18";"Clínica Odontológica";"Ribeirão Preto";"(16) 99104-1282";""
"Dia 2";"Pet Boutique19";"Pet Shop";"Ribeirão Preto";"(16) 99787-5672";""
"Dia 2";"Sorriso Dental20";"Clínica Odontológica";"Ribeirão Preto";"(16) 99871-8273";""
"Dia 2";"Corpo Beleza21";"Clínica de Estética";"Ribeirão Preto";"(16) 99726-2211";""
"Dia 2";"Cantinho Vet22";"Pet Shop";"Ribeirão Preto";"(16) 99895-6248";""
"Dia 2";"Renova Saúde23";"Clínica de Estética";"Ribeirão Preto";"(16) 99959-6929";""
"Dia 2";"Renova Beleza24";"Clínica de Estética";"Ribeirão Preto";"(16) 99818-3586";""
"Dia 2";"Sorriso Dental25";"Clínica Odontológica";"Ribeirão Preto";"(16) 99213-4525";""
"Dia 2";"Mundo Shop26";"Pet Shop";"Ribeirão Preto";"(16) 99280-8175";""
"Dia 2";"Mundo Boutique27";"Pet Shop";"Ribeirão Preto";"(16) 99824-1724";""
"Dia 2";"Bela SPA28";"Clínica de Estética";"Ribeirão Preto";"(16) 99158-6173";""
"Dia 2";"Derme Saúde29";"Clínica de Estética";"Ribeirão Preto";"(16) 99838-2502";""
"Dia 2";"Clean Familiar30";"Clínica Odontológica";"Ribeirão Preto";"(16) 99142-6855";""
"Dia 2";"Prime Oral31";"Clínica Odontológica";"Ribeirão Preto";"(16) 99368-9559";""
"Dia 2";"Studio Care32";"Clínica de Estética";"Ribeirão Preto";"(16) 99371-4728";""
"Dia 2";"Essência Laser33";"Clínica de Estética";"Ribeirão Preto";"(16) 99680-7517";""
"Dia 2";"Bela Clin34";"Clínica Odontológica";"Ribeirão Preto";"(16) 99775-9669";""
"Dia 2";"Studio Saúde35";"Clínica de Estética";"Ribeirão Preto";"(16) 99113-5036";""
"Dia 2";"Studio Derma36";"Clínica de Estética";"Ribeirão Preto";"(16) 99205-7666";""
"Dia 2";"Clinica Center37";"Clínica Odontológica";"Ribeirão Preto";"(16) 99644-9834";""
"Dia 2";"Cão Feliz38";"Pet Shop";"Ribeirão Preto";"(16) 99729-4448";""
"Dia 2";"Saúde Familiar39";"Clínica Odontológica";"Ribeirão Preto";"(16) 99004-7774";""
"Dia 2";"Mania Bichos40";"Pet Shop";"Ribeirão Preto";"(16) 99510-1263";""
"Dia 2";"Bela Especializada41";"Clínica Odontológica";"Ribeirão Preto";"(16) 99823-7757";"http://www.siteantigo-belaespecializada41.com.br"
"Dia 2";"Clinica Odontologia42";"Clínica Odontológica";"Ribeirão Preto";"(16) 99444-9090";"http://www.siteantigo-clinicaodontologia42.com.br"
"Dia 2";"Studio Beleza43";"Clínica de Estética";"Ribeirão Preto";"(16) 99967-8453";"http://www.siteantigo-studiobeleza43.com.br"
"Dia 2";"Face Clinic44";"Clínica de Estética";"Ribeirão Preto";"(16) 99270-5803";"http://www.siteantigo-faceclinic44.com.br"
"Dia 2";"Saúde Sorrisos45";"Clínica Odontológica";"Ribeirão Preto";"(16) 99978-4641";"http://www.siteantigo-saúdesorrisos45.com.br"
"Dia 2";"Corpo Clinic46";"Clínica de Estética";"Ribeirão Preto";"(16) 99492-1424";"http://www.siteantigo-corpoclinic46.com.br"
"Dia 2";"Amigo Banho e Tosa47";"Pet Shop";"Ribeirão Preto";"(16) 99104-9044";"http://www.siteantigo-amigobanhoetosa47.com.br"
"Dia 2";"Cão Feliz48";"Pet Shop";"Ribeirão Preto";"(16) 99112-4796";"http://www.siteantigo-cãofeliz48.com.br"
"Dia 2";"Essência Clinic49";"Clínica de Estética";"Ribeirão Preto";"(16) 99138-2926";"http://www.siteantigo-essênciaclinic49.com.br"
"Dia 2";"Bicho Pet50";"Pet Shop";"Ribeirão Preto";"(16) 99914-3090";"http://www.siteantigo-bichopet50.com.br"
"Dia 3";"Harmonia Saúde1";"Clínica de Estética";"Sorocaba";"(15) 99980-4846";""
"Dia 3";"Vida Odontologia2";"Clínica Odontológica";"Sorocaba";"(15) 99110-9728";""
"Dia 3";"Cão Shop3";"Pet Shop";"Sorocaba";"(15) 99464-5857";""
"Dia 3";"Mania Pet4";"Pet Shop";"Sorocaba";"(15) 99639-3040";""
"Dia 3";"Saúde Oral5";"Clínica Odontológica";"Sorocaba";"(15) 99721-5444";""
"Dia 3";"Face Face & Corpo6";"Clínica de Estética";"Sorocaba";"(15) 99868-4425";""
"Dia 3";"Patas Boutique7";"Pet Shop";"Sorocaba";"(15) 99060-4904";""
"Dia 3";"Saúde Dental8";"Clínica Odontológica";"Sorocaba";"(15) 99059-4776";""
"Dia 3";"Studio Clinic9";"Clínica de Estética";"Sorocaba";"(15) 99521-3195";""
"Dia 3";"Pelos Bichos10";"Pet Shop";"Sorocaba";"(15) 99072-6060";""
"Dia 3";"Clinica Prime11";"Clínica Odontológica";"Sorocaba";"(15) 99448-3024";""
"Dia 3";"Studio Beleza12";"Clínica de Estética";"Sorocaba";"(15) 99452-1286";""
"Dia 3";"Bicho Veterinária13";"Pet Shop";"Sorocaba";"(15) 99128-8101";""
"Dia 3";"Bela Oral14";"Clínica Odontológica";"Sorocaba";"(15) 99410-7947";""
"Dia 3";"Vida Clin15";"Clínica Odontológica";"Sorocaba";"(15) 99243-2468";""
"Dia 3";"Patas Vet16";"Pet Shop";"Sorocaba";"(15) 99157-5106";""
"Dia 3";"Mais Saúde17";"Clínica Odontológica";"Sorocaba";"(15) 99216-7634";""
"Dia 3";"Face Estética Avançada18";"Clínica de Estética";"Sorocaba";"(15) 99928-4134";""
"Dia 3";"Patas Shop19";"Pet Shop";"Sorocaba";"(15) 99137-3172";""
"Dia 3";"Amigo Feliz20";"Pet Shop";"Sorocaba";"(15) 99150-1895";""
"Dia 3";"Mais Especializada21";"Clínica Odontológica";"Sorocaba";"(15) 99255-4391";""
"Dia 3";"Mundo Store22";"Pet Shop";"Sorocaba";"(15) 99115-8141";""
"Dia 3";"Bela Especializada23";"Clínica Odontológica";"Sorocaba";"(15) 99077-7492";""
"Dia 3";"Cantinho Veterinária24";"Pet Shop";"Sorocaba";"(15) 99372-8618";""
"Dia 3";"Pet Vet25";"Pet Shop";"Sorocaba";"(15) 99340-2203";""
"Dia 3";"Mundo Feliz26";"Pet Shop";"Sorocaba";"(15) 99402-1890";""
"Dia 3";"Mundo Pet27";"Pet Shop";"Sorocaba";"(15) 99646-7879";""
"Dia 3";"Pelos Boutique28";"Pet Shop";"Sorocaba";"(15) 99470-7973";""
"Dia 3";"Recanto Shop29";"Pet Shop";"Sorocaba";"(15) 99573-4244";""
"Dia 3";"Pet Store30";"Pet Shop";"Sorocaba";"(15) 99881-7333";""
"Dia 3";"Studio Estética31";"Clínica de Estética";"Sorocaba";"(15) 99947-4388";""
"Dia 3";"Studio Laser32";"Clínica de Estética";"Sorocaba";"(15) 99047-7433";""
"Dia 3";"Mais Saúde33";"Clínica Odontológica";"Sorocaba";"(15) 99153-7667";""
"Dia 3";"Mania Shop34";"Pet Shop";"Sorocaba";"(15) 99046-6174";""
"Dia 3";"Cão Feliz35";"Pet Shop";"Sorocaba";"(15) 99914-2947";""
"Dia 3";"Face Care36";"Clínica de Estética";"Sorocaba";"(15) 99503-2879";""
"Dia 3";"Patas Veterinária37";"Pet Shop";"Sorocaba";"(15) 99688-5321";""
"Dia 3";"Pelos Feliz38";"Pet Shop";"Sorocaba";"(15) 99185-6431";""
"Dia 3";"Pelos Vet39";"Pet Shop";"Sorocaba";"(15) 99947-4045";""
"Dia 3";"Clínica Laser40";"Clínica de Estética";"Sorocaba";"(15) 99046-7674";""
"Dia 3";"Consultório Dental41";"Clínica Odontológica";"Sorocaba";"(15) 99886-8910";"http://www.siteantigo-consultoriodental41.com.br"
"Dia 3";"Gato Feliz42";"Pet Shop";"Sorocaba";"(15) 99011-7818";"http://www.siteantigo-gatofeliz42.com.br"
"Dia 3";"Face Beleza43";"Clínica de Estética";"Sorocaba";"(15) 99298-9337";"http://www.siteantigo-facebeleza43.com.br"
"Dia 3";"Face Saúde44";"Clínica de Estética";"Sorocaba";"(15) 99832-9641";"http://www.siteantigo-facesaúde44.com.br"
"Dia 3";"Face SPA45";"Clínica de Estética";"Sorocaba";"(15) 99703-8829";"http://www.siteantigo-facespa45.com.br"
"Dia 3";"Corpo Beleza46";"Clínica de Estética";"Sorocaba";"(15) 99890-7087";"http://www.siteantigo-corpobeleza46.com.br"
"Dia 3";"Face Estética Avançada47";"Clínica de Estética";"Sorocaba";"(15) 99460-7359";"http://www.siteantigo-faceesteticaavançada47.com.br"
"Dia 3";"Essência Clinic48";"Clínica de Estética";"Sorocaba";"(15) 99704-8472";"http://www.siteantigo-essênciaclinic48.com.br"
"Dia 3";"Clean Oral49";"Clínica Odontológica";"Sorocaba";"(15) 99501-2997";"http://www.siteantigo-cleanoral49.com.br"
"Dia 3";"Cão Vet50";"Pet Shop";"Sorocaba";"(15) 99261-4844";"http://www.siteantigo-cãovet50.com.br"
"Dia 4";"Studio Derma1";"Clínica de Estética";"São José dos Campos";"(12) 99117-4586";""
"Dia 4";"Renova Clinic2";"Clínica de Estética";"São José dos Campos";"(12) 99407-1787";""
"Dia 4";"Cantinho e Cia3";"Pet Shop";"São José dos Campos";"(12) 99324-7392";""
"Dia 4";"Mania Banho e Tosa4";"Pet Shop";"São José dos Campos";"(12) 99614-8682";""
"Dia 4";"Harmonia Estética5";"Clínica de Estética";"São José dos Campos";"(12) 99180-1765";""
"Dia 4";"Saúde Especializada6";"Clínica Odontológica";"São José dos Campos";"(12) 99042-9673";""
"Dia 4";"Corpo Clinic7";"Clínica de Estética";"São José dos Campos";"(12) 99826-8282";""
"Dia 4";"Mundo Boutique8";"Pet Shop";"São José dos Campos";"(12) 99060-4646";""
"Dia 4";"Bicho Bichos9";"Pet Shop";"São José dos Campos";"(12) 99056-7595";""
"Dia 4";"Pele Estética Avançada10";"Clínica de Estética";"São José dos Campos";"(12) 99217-9359";""
"Dia 4";"Face Clinic11";"Clínica de Estética";"São José dos Campos";"(12) 99078-4796";""
"Dia 4";"Clean Sorrisos12";"Clínica Odontológica";"São José dos Campos";"(12) 99988-3268";""
